Start at: Wed Mar 09 2016 17:52:38 GMT+0800 (CST)

All Comments: 1615
DeviceType          Count               Percent
iPad mini 3         2                   0.12383900928792571%
努比亚 Z9              2                   0.12383900928792571%
Nexus 5X            2                   0.12383900928792571%
魅族 MX3              2                   0.12383900928792571%
诺基亚 Lumia 520       2                   0.12383900928792571%
nubia My 布拉格        2                   0.12383900928792571%
诺基亚 Lumia 525       2                   0.12383900928792571%
三星 Galaxy S3        2                   0.12383900928792571%
荣耀3C                2                   0.12383900928792571%
vivo Xshot          2                   0.12383900928792571%
华硕电神5000            2                   0.12383900928792571%
华硕 ZenFone Zoom     2                   0.12383900928792571%
vivo Xplay3S        2                   0.12383900928792571%
HTC One M8 Eye      2                   0.12383900928792571%
酷派 8297             2                   0.12383900928792571%
LG G2               2                   0.12383900928792571%
三星 W2016            2                   0.12383900928792571%
OPPO N1             2                   0.12383900928792571%
HTC 8S              2                   0.12383900928792571%
索尼 Xperia Z Ultra   2                   0.12383900928792571%
乐Phone A820t        2                   0.12383900928792571%
荣耀畅玩4               2                   0.12383900928792571%
索尼 Xperia Z4        2                   0.12383900928792571%
Smartisan T2        2                   0.12383900928792571%
诺基亚 Lumia 800       2                   0.12383900928792571%
HTC One             2                   0.12383900928792571%
vivo X5 Pro         2                   0.12383900928792571%
LG F310L            2                   0.12383900928792571%
小米 2S               2                   0.12383900928792571%
红米 1                2                   0.12383900928792571%
Surface 3           2                   0.12383900928792571%
三星 Galaxy Note 4    2                   0.12383900928792571%
nubia Z5S           2                   0.12383900928792571%
Jolla               2                   0.12383900928792571%
                    2                   0.12383900928792571%
联想 VIBE Shot        2                   0.12383900928792571%
三星 Galaxy A9        2                   0.12383900928792571%
宏碁 Aspire VN7-591G  2                   0.12383900928792571%
诺基亚 Lumia 820       2                   0.12383900928792571%
诺基亚 Lumia 530       1                   0.061919504643962855%
努比亚 Z9 Max          1                   0.061919504643962855%
夏普 402SH            1                   0.061919504643962855%
索尼 Xperia ZR        1                   0.061919504643962855%
旗鱼浏览器WP版            1                   0.061919504643962855%
联想 VIBE P1          1                   0.061919504643962855%
三星 Galaxy S4        1                   0.061919504643962855%
ZUK Z1              1                   0.061919504643962855%
Win8.1客户端           1                   0.061919504643962855%
索尼 Xperia C4        1                   0.061919504643962855%
台电 X98 Air 3G       1                   0.061919504643962855%
索尼 Xperia T2 Ultra  1                   0.061919504643962855%
红米 Note 3G          1                   0.061919504643962855%
HP 431 Notebook     1                   0.061919504643962855%
联想 Lenovo IdeaPad Y4801                   0.061919504643962855%
三星 W2014            1                   0.061919504643962855%
Moto G 2014         1                   0.061919504643962855%
nubia Z7 mini       1                   0.061919504643962855%
